Company Name,Industry,Symbol,Series
ANDHRA CEMENTS LIMITED,,ACL,EQ
ADDICTIVE LEARNING TECHNOLOGY LIMITED,,ADDICTIVE,SM
ADISOFT TECHNOLOGIES LIMITED,,ADISOFT,ST
ARTEMIS ELECTRICALS AND PROJECTS LIMITED,,AEPL,BE
AFFORDABLE ROBOTIC & AUTOMATION LIMITED,,AFFORDABLE,BE
AKME FINTRADE (INDIA) LIMITED,,AFIL,BE
AGARWAL FLOAT GLASS INDIA LIMITED,,AGARWALFT,ST
AGNI GREEN POWER LIMITED,,AGNI,SM
AGS TRANSACT TECHNOLOGIES LIMITED,,AGSTRA,BZ
A G UNIVERSAL LIMITED,,AGUL,SM
AHIMSA INDUSTRIES LIMITED,,AHIMSA,ST
ASIAN HOTELS (WEST) LIMITED,,AHLWEST,BE
ABHISHEK INTEGRATIONS LIMITED,,AILIMITED,ST
ANI INTEGRATED SERVICES LIMITED,,AISL,SM
AKIKO GLOBAL SERVICES LIMITED,,AKIKO,ST
AKSH OPTIFIBRE LIMITED,,AKSHOPTFBR,BE
ALCOKRAFT DISTILLERIES LIMITED,,ALCODIS,ST
AMBANI ORGOCHEM LIMITED,,AMBANIORGO,ST
AMBEY LABORATORIES LIMITED,,AMBEY,ST
AMEYA PRECISION ENGINEERS LIMITED,,AMEYA,SM
AMIR CHAND JAGDISH KUMAR (EXPORTS) LIMITED,,AMIRCHAND,EQ
ANIK INDUSTRIES LIMITED,,ANIKINDS,BE
ANKIT METAL & POWER LIMITED,,ANKITMETAL,BZ
ANONDITA MEDICARE LIMITED,,ANONDITA,SM
ANTELOPUS SELAN ENERGY LIMITED,,ANTELOPUS,EQ
ANGEL ONE MUTUAL FUND - ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,,AONELIQUID,EQ
APSIS AEROCOM LIMITED,,APSISAERO,ST
AQYLON NEXUS LIMITED,,AQYLON,EQ
ARC INSULATION & INSULATORS LIMITED,,ARCIIL,ST
ARISTO BIO-TECH AND LIFESCIENCE LIMITED,,ARISTO,SM
ARSHIYA LIMITED,,ARSHIYA,BZ
ART NIRMAN LIMITED,,ARTNIRMAN,BE
ARVIND PORT AND INFRA LIMITED,,ARVINDPORT,ST
ASCOM LEASING & INVESTMENTS LIMITED,,ASCOM,ST
ASPIRE & INNOVATIVE ADVERTISING LIMITED,,ASPIRE,SM
ASTRON PAPER & BOARD MILL LIMITED,,ASTRON,BE
ATC ENERGIES SYSTEM LIMITED,,ATCENERGY,ST
ATLANTA ELECTRICALS LIMITED,,ATLANTAELE,BE
AURI GROW INDIA LIMITED,,AURIGROW,EQ
ADITYA ULTRA STEEL LIMITED,,AUSL,SM
AVADH SUGAR & ENERGY LIMITED,,AVADHSUGAR,BE
AVANA ELECTROSYSTEMS LIMITED,,AVANA,ST
AVATAR INDUSTRIES LIMITED,,AVATAR,SM
AVP INFRACON LIMITED,,AVPINFRA,SM
AVSL INDUSTRIES LIMITED,,AVSL,ST
AXISCADES TECHNOLOGIES LIMITED,,AXISCADES,EQ
BAFNA PHARMACEUTICALS LIMITED,,BAFNAPH,BE
BALAXI PHARMACEUTICALS LIMITED,,BALAXI,BE
SOLVE PLASTIC PRODUCTS LIMITED,,BALCO,ST
BANKA BIOLOO LIMITED,,BANKA,BE
BRIGHTCOM GROUP LIMITED,,BCG,BE
BDR BUILDCON LIMITED,,BDR,IT
BEDMUTHA INDUSTRIES LIMITED,,BEDMUTHA,BE
BF UTILITIES LIMITED,,BFUTILITIE,EQ
BHARATIYA GLOBAL INFOMEDIA LIMITED,,BGLOBAL,BZ
BGR ENERGY SYSTEMS LIMITED,,BGRENERGY,BE
BHAGYANAGAR INDIA LIMITED,,BHAGYANGR,BE
BIL VYAPAR LIMITED,,BILVYAPAR,BE
GRILL SPLENDOUR SERVICES LIMITED,,BIRDYS,ST
BIRLA CABLE LIMITED,,BIRLACABLE,BE
BLB LIMITED,,BLBLIMITED,BE
BLUE COAST HOTELS LIMITED,,BLUECOAST,BE
BLUE PEBBLE LIMITED,,BLUEPEBBLE,ST
BLUE WATER LOGISTICS LIMITED,,BLUEWATER,ST
BONLON INDUSTRIES LIMITED,,BONLON,EQ
BORANA WEAVES LIMITED,,BORANA,EQ
BOSS PACKAGING SOLUTIONS LIMITED,,BOSS,SM
BRANDMAN RETAIL LIMITED,,BRANDMAN,ST
BROOKS LABORATORIES LIMITED,,BROOKS,BE
BULKCORP INTERNATIONAL LIMITED,,BULKCORP,SM
THE BYKE HOSPITALITY LTD,,BYKE,BE
CADSYS (INDIA) LIMITED,,CADSYS,ST
ICICI PRUDENTIAL MF-ICICI PRUDENTIAL BSE LIQUID RATE ETF-GROWTH,,CASHIETF,EQ
NET AVENUE TECHNOLOGIES LIMITED,,CBAZAAR,SM
CEDAAR TEXTILE LIMITED,,CEDAAR,SM
CEREBRA INTEGRATED TECHNOLOGIES LIMITED,,CEREBRAINT,BZ
C K K RETAIL MART LIMITED,,CKKRETAIL,ST
CLC INDUSTRIES LIMITED,,CLCIND,BE
CL EDUCATE LIMITED,,CLEDUCATE,BE
CMI LIMITED,,CMICABLES,BZ
CYBER MEDIA RESEARCH & SERVICES LIMITED,,CMRSL,SM
COMPUAGE INFOCOM LIMITED,,COMPINFO,BZ
CONSOLIDATED FINVEST & HOLDINGS LIMITED,,CONSOFINVT,BE
CONTINENTAL SEEDS AND CHEMICALS LIMITED,,CONTI,SM
COOL CAPS INDUSTRIES LIMITED,,COOLCAPS,SM
CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,,CTE,BE
CURA TECHNOLOGIES LIMITED,,CURAA,BE
DANGEE DUMS LIMITED,,DANGEE,EQ
DHAMPUR BIO ORGANICS LIMITED,,DBOL,BE
DC INFOTECH AND COMMUNICATION LIMITED,,DCI,BE
DCM SHRIRAM INTERNATIONAL LIMITED,,DCMSIL,BE
DEE DEVELOPMENT ENGINEERS LIMITED,,DEEDEV,EQ
DELTA AUTOCORP LIMITED,,DELTIC,ST
DE NEERS TOOLS LIMITED,,DENEERS,ST
DESTINY LOGISTICS & INFRA LIMITED,,DESTINY,SM
DHARAN INFRA-EPC LIMITED,,DHARAN,BZ
DHARIWALCORP LIMITED,,DHARIWAL,ST
DHRUV CONSULTANCY SERVICES LIMITED,,DHRUV,EQ
DOCMODE HEALTH TECHNOLOGIES LIMITED,,DHTL,SM
DIGISPICE TECHNOLOGIES LIMITED,,DIGISPICE,BE
DEBOCK INDUSTRIES LIMITED,,DIL,BZ
DHANUKA INFRA REALTY LIMITED,,DIRL,SM
DISH TV INDIA LIMITED,,DISHTV,BE
DIVINE HIRA JEWELLERS LIMITED,,DIVINEHIRA,ST
DIVYADHAN RECYCLING INDUSTRIES LIMITED,,DIVYADHAN,ST
DJ MEDIAPRINT & LOGISTICS LIMITED,,DJML,BE
DIVINE POWER ENERGY LIMITED,,DPEL,SM
DRONE DESTINATION LIMITED,,DRONE,ST
DRS CARGO MOVERS LIMITED,,DRSCARGO,SM
DRS DILIP ROADLINES LIMITED,,DRSDILIP,ST
DCM SHRIRAM FINE CHEMICALS LIMITED,,DSFCL,EQ
DUCON INFRATECHNOLOGIES LIMITED,,DUCON,BE
DUDIGITAL GLOBAL LIMITED,,DUGLOBAL,ST
DURLAX TOP SURFACE LIMITED,,DURLAX,ST
E2E NETWORKS LIMITED,,E2E,BE
EASTERN SILK INDUSTRIES LIMITED,,EASTSILK,BE
EDUCOMP SOLUTIONS LIMITED,,EDUCOMP,BZ
ELECTRO FORCE (INDIA) LIMITED,,EFORCE,ST
EDELWEISS MUTUAL FUND - EDELWEISS NIFTY 1D RATE LIQUID ETF,,ELIQUID,EQ
ELITECON INTERNATIONAL LIMITED,,ELITECON,EQ
EMAMI REALTY LIMITED,,EMAMIREAL,BE
EMBASSY DEVELOPMENTS LIMITED,,EMBDL,BE
EMPOWER INDIA LTD.,,EMPOWER,BE
ENSER COMMUNICATIONS LIMITED,,ENSER,ST
EQUIPPP SOCIAL IMPACT TECHNOLOGIES LIMITED,,EQUIPPP,BE
ESCONET TECHNOLOGIES LIMITED,,ESCONET,ST
ESSEN SPECIALITY FILMS LIMITED,,ESFL,ST
FAZE THREE LIMITED,,FAZE3Q,BE
FUTURE CONSUMER LIMITED,,FCONSUMER,BZ
FCS SOFTWARE SOLUTIONS LIMITED,,FCSSOFT,BE
FUTURE ENTERPRISES LIMITED,,FELDVR,BZ
FIBERWEB (INDIA) LIMITED,,FIBERWEB,BE
FILATEX FASHIONS LIMITED,,FILATFASH,BE
FINBUD FINANCIAL SERVICES LIMITED,,FINBUD,SM
FISCHER MEDICAL VENTURES LIMITED,,FISCHER,EQ
FUTURE LIFESTYLE FASHIONS LIMITED,,FLFL,BZ
FOCE INDIA LIMITED,,FOCE,SM
FORGE AUTO INTERNATIONAL LIMITED,,FORGEAUTO,SM
FRESHARA AGRO EXPORTS LIMITED,,FRESHARA,ST
GANESH INFRAWORLD LIMITED,,GANESHIN,ST
GANGA BATH FITTINGS LIMITED,,GANGABATH,ST
GAUDIUM IVF AND WOMEN HEALTH LIMITED,,GAUDIUMIVF,BE
GAYATRI HIGHWAYS LIMITED,,GAYAHWS,EQ
GAYATRI PROJECTS LIMITED,,GAYAPROJ,BE
GEM AROMATICS LIMITED,,GEMAROMA,BE
GENSOL ENGINEERING LIMITED,,GENSOL,BZ
GRAND FOUNDRY LIMITED,,GFSTEELS,BE
UTI MUTUAL FUND - UTI NIFTY 10 YR BENCHMARK G-SEC ETF,,GILT10BETA,EQ
UTI MUTUAL FUND - UTI NIFTY 5 YR BENCHMARK G-SEC ETF,,GILT5BETA,EQ
NIPPON INDIA ETF NIFTY 5 YR BENCHMARK GSEC,,GILT5YBEES,EQ
GIRIRAJ CIVIL DEVELOPERS LIMITED,,GIRIRAJ,ST
GROVER JEWELLS LIMITED,,GJL,ST
GLOBALE TESSILE LIMITED,,GLOBALE,BE
GLOBE CIVIL PROJECTS LIMITED,,GLOBECIVIL,BE
GOLDEN TOBACCO LIMITED,,GOLDENTOBC,BZ
GOLDKART JEWELS LIMITED,,GOLDKART,SM
GOLDSTAR POWER LIMITED,,GOLDSTAR,ST
GRAPHISADS LIMITED,,GRAPHISAD,ST
GAYATRI RUBBERS AND CHEMICALS LIMITED,,GRCL,SM
GREENCHEF APPLIANCES LIMITED,,GREENCHEF,SM
GREENLEAF ENVIROTECH LIMITED,,GREENLEAF,SM
GRETEX INDUSTRIES LIMITED,,GRETEX,ST
GROWW MUTUAL FUND - GROWW NIFTY 1D RATE LIQUID ETF,,GROWWLIQID,EQ
ICICI PRU MUTUAL FUND-ICICI PRUDENTIAL NIFTY 10 YR BENCHMARK G-SEC ETF,,GSEC10IETF,EQ
MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 8-13 YR G-SEC ETF,,GSEC10YEAR,EQ
ICICI PRUDENTIAL NIFTY 5 YR BENCHMARK G-SEC ETF,,GSEC5IETF,EQ
GLOBAL SURFACES LIMITED,,GSLSU,EQ
GSS INFOTECH LIMITED,,GSS,BE
GLOBESECURE TECHNOLOGIES LIMITED,,GSTL,ST
GTL LIMITED,,GTL,BE
GURUNANAK AGRICULTURE INDIA LIMITED,,GURUNANAK,SM
GE POWER INDIA LIMITED,,GVPIL,BE
SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED,,HAVISHA,BE
HB STOCKHOLDINGS LIMITED,,HBSL,BE
HDFC NIFTY 1D RATE LIQUID ETF - GROWTH,,HDFCLIQUID,EQ
HOUSING DEVELOPMENT AND INFRASTRUCTURE LIMITED,,HDIL,BZ
HIGHWAY INFRASTRUCTURE LIMITED,,HILINFRA,BE
HILTON METAL FORGING LIMITED,,HILTON,EQ
HINDCON CHEMICALS LIMITED,,HINDCON,BE
THE HI-TECH GEARS LIMITED,,HITECHGEAR,BE
HMT LIMITED,,HMT,BZ
HOAC FOODS INDIA LIMITED,,HOACFOODS,SM
HOLMARC OPTO-MECHATRONICS LIMITED,,HOLMARC,SM
HOMESFY REALTY LIMITED,,HOMESFY,SM
HP TELECOM INDIA LIMITED,,HPTL,SM
HRH NEXT SERVICES LIMITED,,HRHNEXT,SM
HVAX TECHNOLOGIES LIMITED,,HVAX,SM
IBL FINANCE LIMITED,,IBLFL,SM
ICDS LIMITED,,ICDSLTD,BE
IDENTICAL BRAINS STUDIOS LIMITED,,IDENTICAL,ST
IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED,,IL&FSENGG,BZ
IL&FS TRANSPORTATION NETWORKS LIMITED,,IL&FSTRANS,BZ
IMPEX FERRO TECH LIMITED,,IMPEXFERRO,BZ
INDIFRA LIMITED,,INDIFRA,SM
INDO TECH TRANSFORMERS LIMITED,,INDOTECH,EQ
INFINIUM PHARMACHEM LIMITED,,INFINIUM,SM
INSPIRE FILMS LIMITED,,INSPIRE,ST
INSPIRISYS SOLUTIONS LIMITED,,INSPIRISYS,BE
INTEGRITY INFRABUILD DEVELOPERS LIMITED,,INTEGRITY,SM
INVICTA DIAGNOSTIC LIMITED,,INVICTA,ST
ISHAN INTERNATIONAL LIMITED,,ISHAN,ST
ITALIAN EDIBLES LIMITED,,ITALIANE,ST
IWARE SUPPLYCHAIN SERVICES LIMITED,,IWARE,ST
IZMO LIMITED,,IZMO,BE
JAINAM FERRO ALLOYS (I) LIMITED,,JAINAM,SM
JAINIK POWER CABLES LIMITED,,JAINIK,SM
JAKHARIA FABRIC LIMITED,,JAKHARIA,ST
JALAN TRANSOLUTIONS (INDIA) LIMITED,,JALAN,SM
JAY BEE LAMINATIONS LIMITED,,JAYBEE,ST
JET KNITWEARS LIMITED,,JETKNIT,ST
JFL LIFE SCIENCES LIMITED,,JFLLIFE,SM
JHS SVENDGAARD LABORATORIES LIMITED,,JHS,BE
JINDAL POLY FILMS LIMITED,,JINDALPOLY,EQ
JINKUSHAL INDUSTRIES LIMITED,,JKIPL,BE
JSW HOLDINGS LIMITED,,JSWHL,EQ
JYOTI GLOBAL PLAST LIMITED,,JYOTIGLOBL,ST
KAKATIYA CEMENT SUGAR & INDUSTRIES LIMITED,,KAKATCEM,BE
KALYANI COMMERCIALS LIMITED,,KALYANI,BE
KAMDHENU VENTURES LIMITED,,KAMOPAINTS,BE
KANCHI KARPOORAM LIMITED,,KANCHI,BE
KARMA ENERGY LIMITED,,KARMAENG,EQ
KAVVERI DEFENCE & WIRELESS TECHNOLOGIES LIMITED,,KAVDEFENCE,BE
KAY CEE ENERGY & INFRA LIMITED,,KCEIL,ST
KORE DIGITAL LIMITED,,KDL,SM
KIRLOSKAR ELECTRIC COMPANY LIMITED,,KECL,BE
KESORAM INDUSTRIES LIMITED,,KESORAMIND,EQ
KHAITAN CHEMICALS & FERTILIZERS LIMITED,,KHAICHEM,BE
KHAITAN (INDIA) LIMITED,,KHAITANLTD,BE
KKV AGRO POWERS LIMITED,,KKVAPOW,SM
KONSTELEC ENGINEERS LIMITED,,KONSTELEC,ST
JAY JALARAM TECHNOLOGIES LIMITED,,KORE,SM
KREBS BIOCHEMICALS AND INDUSTRIES LIMITED,,KREBSBIO,BE
KRIDHAN INFRA LIMITED,,KRIDHANINF,EQ
KRITI NUTRIENTS LIMITED,,KRITINUT,BE
KSHITIJ POLYLINE LIMITED,,KSHITIJPOL,BE
KSR FOOTWEAR LIMITED,,KSR,BE
LAKSHMI PRECISION SCREWS LIMITED,,LAKPRE,BZ
LAKSHYA POWERTECH LIMITED,,LAKSHYA,ST
LANCOR HOLDINGS LIMITED,,LANCORHOL,BE
LASA SUPERGENERICS LIMITED,,LASA,BE
LAXMI COTSPIN LIMITED,,LAXMICOT,BE
LCC INFOTECH LIMITED,,LCCINFOTEC,BE
LEXUS GRANITO (INDIA) LIMITED,,LEXUS,BE
LIC MF - LIC MF G-SEC LT ETF - GO,,LICNETFGSC,EQ
LIKHITHA INFRASTRUCTURE LIMITED,,LIKHITHA,BE
NIPPON INDIA MUTUAL FUND-NIPPON INDIA NIFTY 1D RATE LIQUID ETF-GROWTH,,LIQGRWBEES,EQ
MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 1D RATE LIQUID ETF,,LIQUID,EQ
KOTAK MAHINDRA MUTUAL FUND - KOTAK NIFTY 1D RATE LIQUID ETF,,LIQUID1,EQ
DSP BSE LIQUID RATE ETF,,LIQUIDADD,EQ
NIPPON INDIA ETF NIFTY 1D RATE LIQUID BEES,,LIQUIDBEES,EQ
BAJAJ FINSERV NIFTY 1D RATE LIQUID ETF-GROWTH,,LIQUIDBETF,EQ
ZERODHA FUND HOUSE - ZERODHA NIFTY 1D RATE LIQUID ETF,,LIQUIDCASE,EQ
DSP NIFTY 1D RATE LIQUID ETF,,LIQUIDETF,EQ
ICICI PRUDENTIAL BSE LIQUID RATE ETF- IDCW,,LIQUIDIETF,EQ
MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 1D RATE LIQUID ETF-GROWTH,,LIQUIDPLUS,EQ
SBI MUTUAL FUND - SBI NIFTY 1D RATE ETF,,LIQUIDSBI,EQ
SHRIRAM MUTUAL FUND -SHRIRAM NIFTY 1D RATE LIQUID ETF,,LIQUIDSHRI,EQ
LOKESH MACHINES LIMITED,,LOKESHMACH,BE
SRI LOTUS DEVELOPERS AND REALTY LIMITED,,LOTUSDEV,EQ
LOYAL TEXTILE MILLS LIMITED,,LOYALTEX,BE
LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED,,LPDC,BE
LEAD RECLAIM AND RUBBER PRODUCTS LIMITED,,LRRPL,SM
NIPPON INDIA ETF NIFTY 8-13 YR G-SEC LONG TERM GILT,,LTGILTBEES,EQ
ZERODHA FUND HOUSE - ZERODHA NIFTY 8-13 YR G-SEC ETF,,LTGILTCASE,EQ
LUX INDUSTRIES LIMITED,,LUXIND,EQ
LYKA LABS LIMITED,,LYKALABS,BE
MADHUCON PROJECTS LIMITED,,MADHUCON,BE
MAGNUM VENTURES LIMITED,,MAGNUM,BE
MAGSON RETAIL AND DISTRIBUTION LIMITED,,MAGSON,ST
MAHAMAYA STEEL INDUSTRIES LIMITED,,MAHASTEEL,BE
MAHICKRA CHEMICALS LIMITED,,MAHICKRA,ST
MAKS ENERGY SOLUTIONS INDIA LIMITED,,MAKS,SM
MANGALAM ALLOYS LIMITED,,MAL,SM
MANAKSIA STEELS LIMITED,,MANAKSTEEL,BE
MANAV INFRA PROJECTS LIMITED,,MANAV,ST
MANDEEP AUTO INDUSTRIES LIMITED,,MANDEEP,SM
MARC TECHNOCRATS LIMITED,,MARC,ST
MARINETRANS INDIA LIMITED,,MARINETRAN,SM
MASK INVESTMENTS LIMITED,,MASKINVEST,BE
MASTER COMPONENTS LIMITED,,MASTER,SM
MAXVOLT ENERGY INDUSTRIES LIMITED,,MAXVOLT,SM
MBL INFRASTRUCTURE LIMITED,,MBLINFRA,BE
MCLEOD RUSSEL INDIA LIMITED,,MCLEODRUSS,BE
MCON RASAYAN INDIA LIMITED,,MCON,SM
MEDISTEP HEALTHCARE LIMITED,,MEDISTEP,ST
MEGA FLEX PLASTICS LIMITED,,MEGAFLEX,ST
MANGAL ELECTRICAL INDUSTRIES LIMITED,,MEIL,BE
MANGLAM INFRA & ENGINEERING LIMITED,,MIEL,SM
MILTON INDUSTRIES LIMITED,,MILTON,SM
MINDPOOL TECHNOLOGIES LIMITED,,MINDPOOL,SM
MOBILISE APP LAB LIMITED,,MOBILISE,ST
MODERN THREADS (INDIA) LIMITED,,MODTHREAD,EQ
MOTILAL OSWAL MUTUAL FUND - MOTILAL OSWAL 5 YEAR G SEC ETF - GROWTH,,MOGSEC,EQ
MONO PHARMACARE LIMITED,,MONOPHARMA,SM
MORARJEE TEXTILES LIMITED,,MORARJEE,BZ
MOS UTILITY LIMITED,,MOS,SM
MOXSH OVERSEAS EDUCON LIMITED,,MOXSH,ST
MANAS POLYMERS AND ENERGIES LIMITED,,MPEL,SM
MADHYA PRADESH TODAY MEDIA LIMITED,,MPTODAY,SM
MAHENDRA REALTORS & INFRASTRUCTURE LIMITED,,MRIL,SM
MSP STEEL & POWER LIMITED,,MSPL,EQ
MT EDUCARE LIMITED,,MTEDUCARE,BE
NAGARJUNA FERTILIZERS AND CHEMICALS LIMITED,,NAGAFERT,BZ
NAGREEKA CAPITAL & INFRASTRUCTURE LIMITED,,NAGREEKCAP,BE
NAHAR SPINNING MILLS LIMITED,,NAHARSPING,BE
NAVKAR URBANSTRUCTURE LIMITED,,NAVKARURB,EQ
NEELAMALAI AGRO INDUSTRIES LIMITED,,NEAGI,EQ
NEELAM LINENS AND GARMENTS (INDIA) LIMITED,,NEELAM,SM
NEPTUNE PETROCHEMICALS LIMITED,,NEPTUNE,ST
NEUEON CORPORATION LIMITED,,NEUEON,BE
NEWJAISA TECHNOLOGIES LIMITED,,NEWJAISA,ST
NINTEC SYSTEMS LIMITED,,NINSYS,BE
NIRAJ ISPAT INDUSTRIES LIMITED,,NIRAJISPAT,BE
NIRMAN AGRI GENETICS LIMITED,,NIRMAN,ST
NORBEN TEA & EXPORTS LIMITED,,NORBTEAEXP,EQ
ODIGMA CONSULTANCY SOLUTIONS LIMITED,,ODIGMA,BE
OIL COUNTRY TUBULAR LIMITED,,OILCOUNTUB,BE
OMFURN INDIA LIMITED,,OMFURN,ST
ON DOOR CONCEPTS LIMITED,,ONDOOR,ST
ONELIFE CAPITAL ADVISORS LIMITED,,ONELIFECAP,EQ
ORTEL COMMUNICATIONS LIMITED,,ORTEL,BZ
ORTIN GLOBAL LIMITED,,ORTINGLOBE,BE
OSIA HYPER RETAIL LIMITED,,OSIAHYPER,EQ
OSWAL AGRO MILLS LIMITED,,OSWALAGRO,BE
OSWAL PUMPS LIMITED,,OSWALPUMPS,EQ
OWAIS METAL AND MINERAL PROCESSING LIMITED,,OWAIS,SM
PALRED TECHNOLOGIES LIMITED,,PALREDTEC,BE
PANACHE DIGILIFE LIMITED,,PANACHE,BE
PARAMPARA DAIRY DELIGHTS LIMITED,,PARAMPARA,ST
PARAS PETROFILS LIMITED,,PARASPETRO,BE
PARSVNATH DEVELOPERS LIMITED,,PARSVNATH,BE
PARTH ELECTRICALS & ENGINEERING LIMITED,,PARTH,ST
PATTECH FITWELL TUBE COMPONENTS LIMITED,,PATTECH,SM
PAVNA INDUSTRIES LIMITED,,PAVNAIND,BE
PEARL POLYMERS LIMITED,,PEARLPOLY,BE
PENINSULA LAND LIMITED,,PENINLAND,BE
PERFECT INFRAENGINEERS LIMITED,,PERFECT,SZ
PLADA INFOTECH SERVICES LIMITED,,PLADAINFO,SM
PRITISH NANDY COMMUNICATIONS LIMITED,,PNC,BE
POSITRON ENERGY LIMITED,,POSITRON,ST
PICTUREPOST STUDIOS LIMITED,,PPSL,ST
PRAXIS HOME RETAIL LIMITED,,PRAXIS,BE
PRECISION METALIKS LIMITED,,PRECISION,SM
PRECOT LIMITED,,PRECOT,BE
PREMIER LIMITED,,PREMIER,BE
PREMIER POLYFILM LIMITED,,PREMIERPOL,BE
PRESSTONIC ENGINEERING LIMITED,,PRESSTONIC,ST
PRITI INTERNATIONAL LIMITED,,PRITI,BE
PRIZOR VIZTECH LIMITED,,PRIZOR,ST
PROLIFE INDUSTRIES LIMITED,,PROLIFE,SM
PRUDENTIAL SUGAR CORPORATION LIMITED,,PRUDMOULI,EQ
P S RAJ STEELS LIMITED,,PSRAJ,SM
PULZ ELECTRONICS LIMITED,,PULZ,SM
PURV FLEXIPACK LIMITED,,PURVFLEXI,ST
QUALITY FOILS (INDIA) LIMITED,,QFIL,SM
QUADPRO ITES LIMITED,,QUADPRO,SM
QUEST LABORATORIES LIMITED,,QUESTLAB,ST
QUICKTOUCH TECHNOLOGIES LIMITED,,QUICKTOUCH,SM
QUINTEGRA SOLUTIONS LIMITED,,QUINTEGRA,BE
QVC EXPORTS LIMITED,,QVCEL,SM
RACE ECO CHAIN LIMITED,,RACE,BE
MUSIC BROADCAST LIMITED,,RADIOCITY,BE
RADIOWALLA NETWORK LIMITED,,RADIOWALLA,SM
RAJESH EXPORTS LIMITED,,RAJESHEXPO,BZ
RAJNANDINI METAL LIMITED,,RAJMET,BE
RAJVIR INDUSTRIES LIMITED,,RAJVIR,BZ
RAMA STEEL TUBES LIMITED,,RAMASTEEL,EQ
RAMDEVBABA SOLVENT LIMITED,,RBS,ST
RELIANCE COMMUNICATIONS LIMITED,,RCOM,BE
REFRACTORY SHAPES LIMITED,,REFRACTORY,SM
RELIANCE INFRASTRUCTURE LIMITED,,RELINFRA,BE
RUDRABHISHEK ENTERPRISES LIMITED,,REPL,BE
REX PIPES AND CABLES INDUSTRIES LIMITED,,REXPIPES,SM
REXPRO ENTERPRISES LIMITED,,REXPRO,SM
RELIANCE HOME FINANCE LIMITED,,RHFL,BZ
RITE ZONE CHEMCON INDIA LIMITED,,RITEZONE,ST
RMC SWITCHGEARS LIMITED,,RMC,BE
R M DRIP AND SPRINKLERS SYSTEMS LIMITED,,RMDRIP,EQ
R&B DENIMS LIMITED,,RNBDENIMS,BE
